OrderID,CustomerID,Customer Name,Email,Phone_no,City,Category,Product,Quantity,UnitPrice,Discount_Pct,PaymentMethod,OrderDate,Status,Rating,Average_Rating,Total_Amount,Invalid Price,Invalid Quantity,Invalid Rating,Invalid Date
ORD013233,CUST04801,Vikas Sharma,vikas.sharma610@gmail.com,9738787236,Jaipur,Home Decor,Table Runner,2,1589.66,5,Cash on Delivery,06-12-2022,Cancelled,1,3.500323947,3020.35,Valid,Valid,Valid,Valid
ORD018894,CUST00464,Aarav Iyer,aarav.iyer690@yahoo.com,9435901706,Delhi,Home Decor,Photo Frame,3,1105.7,5,UPI,12-10-2022,Pending,3,3.500323947,3151.25,Valid,Valid,Valid,Valid
ORD002166,CUST03121,Kiran Kapoor,kiran.kapoor954@gmail.com,9777489925,Dehli,Furniture,TV Stand,6,5918.02,15,Net Banking,21-03-2023,Processing,4,3.500323947,30181.9,Valid,Valid,Valid,Valid
ORD004089,CUST02855,Deepa Singh,deepa.singh398@gmail.com,9283637528,Kanpur,Sports,Football,1,1047.76,0,Debit Card,08-03-2023,Delivered,4,3.500323947,1047.76,Valid,Valid,Valid,Valid
ORD012533,CUST01038,Diana Iyer,diana.iyer219@yahoo.com,9807232466,Mumbai,Home Decor,Cushion Cover,1,2102,25,Debit Card,31-03-2022,Delivered,2,3.500323947,1576.5,Valid,Valid,Valid,Valid
ORD013120,CUST04391,Anjali Verma,anjali.verma873@gmail.com,9169480621,Bengaluru,Books,Finance 101,9,518.07,20,UPI,17-07-2023,Delivered,4,3.500323947,3730.1,Valid,Valid,Valid,Valid
ORD015162,CUST04239,Aditi Patel,aditi.patel182@gmail.com,Not Available,Kanpur,Clothing,T-Shirt,10,1347.5,25,Credit Card,21-07-2022,Delivered,2,3.500323947,10106.25,Valid,Valid,Valid,Valid
ORD000707,CUST02777,Suresh Reddy,suresh.reddy217@gmail.com,9612677256,Pune,Home Decor,Curtains,10,1415.87,20,Cash on Delivery,22-04-2024,Shipped,5,3.500323947,11326.96,Valid,Valid,Valid,Valid
ORD016179,CUST02977,Alice Rao,alice.rao538@yahoo.com,9813921148,Hyderabad,Electronics,Laptop,3,593.08,25,UPI,16-09-2022,Pending,4,3.500323947,1334.43,Valid,Valid,Valid,Valid
ORD009438,CUST01781,Eve Rao,eve.rao142@yahoo.com,9460331059,Hyderabad,Sports,Running Shoes,1,1411.64,15,Debit Card,30-10-2022,Processing,3,3.500323947,1199.89,Valid,Valid,Valid,Valid
ORD008461,CUST04410,Rohit Kumar,rohit.kumar722@gmail.com,9438936737,Not Available,Sports,Tennis Racket,9,438.53,20,UPI,15-02-2023,Delivered,1,3.500323947,3157.42,Valid,Valid,Valid,Valid
ORD002165,CUST04418,Meera Joshi,meera.joshi315@gmail.com,9454355755,Lucknow,Automotive,Phone Mount,7,1175.98,5,Net Banking,19-01-2023,Pending,3,3.500323947,7820.27,Valid,Valid,Valid,Valid
ORD013650,CUST03349,Jack Patel,jack.patel215@gmail.com,9157877509,Pune,Electronics,Printer,8,1205.56,20,UPI,28-01-2022,Delivered,5,3.500323947,7715.58,Valid,Valid,Valid,Valid
ORD006115,CUST00447,Usha Gupta,usha.gupta375@gmail.com,9879793773,Hyderabad,Beauty,Perfume,1,924.71,10,Debit Card,06-06-2022,Cancelled,5,3.500323947,832.24,Valid,Valid,Valid,Valid
ORD014061,CUST02990,Usha Patel,usha.patel967@gmail.com,9182346105,Pune,Books,Data Science 101,7,596.74,5,Net Banking,16-03-2024,Delivered,3,3.500323947,3968.32,Valid,Valid,Valid,Valid
ORD011969,CUST00902,Usha Bose,usha.bose304@yahoo.com,9358261593,Mumbai,Electronics,Smartphone,4,2009.73,10,Cash on Delivery,01-02-2022,Delivered,5,3.500323947,7235.03,Valid,Valid,Valid,Valid
ORD015165,CUST04074,Anjali Das,anjali.das557@yahoo.com,9687930587,Jaipur,Furniture,Dining Table,5,4433.05,10,Credit Card,07-11-2024,Cancelled,5,3.500323947,19948.73,Valid,Valid,Valid,Valid
ORD017887,CUST00787,Rohit Singh,rohit.singh862@yahoo.com,9985287442,Pune,Beauty,Sunscreen,8,146.01,15,Wallet,26-06-2022,Delivered,4,3.500323947,992.87,Valid,Valid,Valid,Valid
ORD016564,CUST03486,Rahul Hegde,rahul.hegde783@yahoo.com,9192102328,Pune,Home Decor,Curtains,3,693.27,0,Cash on Delivery,18-06-2022,Cancelled,3,3.500323947,2079.81,Valid,Valid,Valid,Valid
ORD008415,CUST04364,Aditi Malhotra,Not Available,9428053311,Jaipur,Sports,Football,4,547.94,20,Credit Card,28-08-2022,Delivered,4,3.500323947,1753.41,Valid,Valid,Valid,Valid
ORD005438,CUST03260,Amit Sharma,amit.sharma961@yahoo.com,9392719138,Hyderabad,Clothing,Dress,8,707.5,20,Cash on Delivery,12-09-2024,Shipped,1,3.500323947,4528,Valid,Valid,Valid,Valid
ORD003432,CUST03178,Arjun Pillai,Not Available,9919749443,Jaipur,Clothing,Jacket,7,270.7,5,Cash on Delivery,03-04-2022,Delivered,0,3.500323947,1800.16,Valid,Valid,Invalid,Valid
ORD004704,CUST03195,Zara Shah,zara.shah637@gmail.com,Not Available,Pune,Sports,Dumbbells,3,696.57,0,Net Banking,06-11-2022,Delivered,4,3.500323947,2089.71,Valid,Valid,Valid,Valid
ORD009141,CUST03379,Grace Sharma,grace.sharma81@gmail.com,9388527856,Kanpur,Groceries,Dal 1kg,7,353.03,5,Wallet,03-02-2023,Shipped,2,3.500323947,2347.65,Valid,Valid,Valid,Valid
ORD010848,CUST03722,Rajan Sharma,rajan.sharma135@gmail.com,999,Surat,Groceries,Oil 1L,10,173.39,10,Net Banking,25-06-2023,Delivered,5,3.500323947,1560.51,Valid,Valid,Valid,Valid
ORD018097,CUST02431,Rajan Reddy,rajan.reddy363@gmail.com,9522728185,Delhi,Furniture,Desk,10,2407.93,20,Cash on Delivery,13-09-2022,Shipped,5,3.500323947,19263.44,Valid,Valid,Valid,Valid
